[]
[4, 2412]
         1439833 function calls (1436449 primitive calls) in 5.503 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.001    0.000 __init__.py:41(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:414(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:479(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:480(CFunctionType)
       16    0.000    0.000    0.000    0.000 __init__.py:58(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:69(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       25    0.000    0.000    0.000    0.000 __init__.py:83(__iter__)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:105(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:108(<genexpr>)
       23    0.000    0.000    0.000    0.000 _collections_abc.py:135(__subclasshook__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:426(values)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:443(__init__)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:498(__iter__)
        9    0.000    0.000    0.001    0.000 _collections_abc.py:562(update)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:85(__subclasshook__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:88(<genexpr>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
